,length
0,[1.4853027 1.5809859 1.4853027 1.5809859]
1,[1.5809859 1.5809859 1.4853027 1.4853027]
2,[1.5809859 1.4853027 1.4853027 1.5809859]
3,[1.4853027 1.4853027 1.5809859 1.5809859]
4,[1.5809859 1.4853027 1.4853027 1.5809859]
5,[1.5809859 1.4853027 1.5809859 1.4853027]
6,[1.4853027 1.5809859 1.5809859 1.4853027]
7,[1.4853027 1.4853027 1.5809859 1.5809859]
8,[1.4853027 1.4853027 1.5809859 1.5809859]
9,[1.4853027 1.4853027 1.5809859 1.5809859]
10,[1.4853027 1.4853027 1.5809859 1.5809859]
11,[1.4853027 1.4853027 1.5809859 1.5809859]
12,[1.4853027 1.4853027 1.4853027]
13,[1.4853027 1.4853027 1.4853027]
14,[1.4853027 1.4853027 1.4853027]
15,[1.4853027 1.4853027 1.4853027]
16,[1.4853027 1.4853027 1.4853027]
17,[1.4853027 1.4853027 1.4853027]
18,[1.4853027 1.4853027 1.4853027]
19,[1.4853027 1.4853027 1.4853027]
