,length
0,[1.46551196 1.39512885 1.46551196]
1,[1.46551196 1.46551196 1.39512885]
2,[1.46551196 1.46551196 1.39512885]
3,[1.46551196 1.39512885 1.46551196]
4,[1.55111172 1.60742418 1.55551519 1.59827458]
5,[1.55551519 1.60742418 1.55111172 1.59827458]
6,[1.59827458 1.60742418 1.55551519 1.55111172]
7,[1.59827458 1.55111172 1.55551519 1.60742418]
8,[1.59827458 1.55551519 1.60742418 1.55111172]
9,[1.59827458 1.55111172 1.60742418 1.55551519]
10,[1.55111172 1.55551519 1.60742418 1.59827458]
11,[1.60742418 1.55551519 1.55111172 1.59827458]
12,[1.4117001  1.45693763 1.30374211]
13,[1.4117001  1.30374211 1.45693763]
14,[1.30374211 1.45693763 1.4117001 ]
15,[1.45693763 1.30374211 1.4117001 ]
16,[1.30374211 1.45693763 1.4117001 ]
17,[1.45693763 1.30374211 1.4117001 ]
18,[1.4117001  1.45693763 1.30374211]
19,[1.4117001  1.30374211 1.45693763]
20,[1.43062642 1.54124435 1.56875018]
21,[1.54124435 1.43062642 1.56875018]
22,[1.56875018 1.54124435 1.43062642]
23,[1.56875018 1.43062642 1.54124435]
24,[1.56875018 1.54124435 1.43062642]
25,[1.56875018 1.43062642 1.54124435]
26,[1.43062642 1.54124435 1.56875018]
27,[1.54124435 1.43062642 1.56875018]
28,[1.29450883 1.47400815 1.44990283]
29,[1.29450883 1.44990283 1.47400815]
30,[1.47400815 1.44990283 1.29450883]
31,[1.44990283 1.47400815 1.29450883]
32,[1.44990283 1.47400815 1.29450883]
33,[1.47400815 1.44990283 1.29450883]
34,[1.29450883 1.44990283 1.47400815]
35,[1.29450883 1.47400815 1.44990283]
36,[1.53254738 1.60937043 1.63509642 1.60742418]
37,[1.60937043 1.53254738 1.63509642 1.60742418]
38,[1.63509642 1.60742418 1.60937043 1.53254738]
39,[1.63509642 1.60742418 1.53254738 1.60937043]
40,[1.63509642 1.60742418 1.60937043 1.53254738]
41,[1.63509642 1.60742418 1.53254738 1.60937043]
42,[1.53254738 1.60937043 1.63509642 1.60742418]
43,[1.60937043 1.53254738 1.63509642 1.60742418]
44,[1.60937043 1.46551196 1.43062642]
45,[1.60937043 1.43062642 1.46551196]
46,[1.43062642 1.46551196 1.60937043]
47,[1.46551196 1.43062642 1.60937043]
48,[1.43062642 1.46551196 1.60937043]
49,[1.46551196 1.43062642 1.60937043]
50,[1.60937043 1.46551196 1.43062642]
51,[1.60937043 1.43062642 1.46551196]
52,[1.47400815 1.63509642 1.54124435 1.55111172]
53,[1.63509642 1.47400815 1.55111172 1.54124435]
54,[1.55111172 1.54124435 1.63509642 1.47400815]
55,[1.54124435 1.55111172 1.47400815 1.63509642]
56,[1.55111172 1.54124435 1.63509642 1.47400815]
57,[1.54124435 1.55111172 1.47400815 1.63509642]
58,[1.47400815 1.63509642 1.54124435 1.55111172]
59,[1.63509642 1.47400815 1.55111172 1.54124435]
60,[1.30374211 1.29450883]
61,[1.30374211 1.29450883]
62,[1.29450883 1.30374211]
63,[1.29450883 1.30374211]
64,[1.29450883 1.30374211]
65,[1.29450883 1.30374211]
66,[1.30374211 1.29450883]
67,[1.30374211 1.29450883]
68,[1.45777966 1.39512885 1.45777966]
69,[1.45777966 1.45777966 1.39512885]
70,[1.45777966 1.45777966 1.39512885]
71,[1.45777966 1.39512885 1.45777966]
72,[1.39189387 1.42727846 1.44488996]
73,[1.42727846 1.39189387 1.44488996]
74,[1.44488996 1.39189387 1.42727846]
75,[1.44488996 1.42727846 1.39189387]
76,[1.44488996 1.42727846 1.39189387]
77,[1.44488996 1.39189387 1.42727846]
78,[1.42727846 1.39189387 1.44488996]
79,[1.39189387 1.42727846 1.44488996]
80,[1.44990283 1.40730994 1.39840885]
81,[1.40730994 1.44990283 1.39840885]
82,[1.39840885 1.40730994 1.44990283]
83,[1.39840885 1.44990283 1.40730994]
84,[1.39840885 1.40730994 1.44990283]
85,[1.39840885 1.44990283 1.40730994]
86,[1.44990283 1.40730994 1.39840885]
87,[1.40730994 1.44990283 1.39840885]
88,[1.39084147 1.53254738 1.40205691]
89,[1.53254738 1.39084147 1.40205691]
90,[1.40205691 1.39084147 1.53254738]
91,[1.40205691 1.53254738 1.39084147]
92,[1.40205691 1.53254738 1.39084147]
93,[1.40205691 1.39084147 1.53254738]
94,[1.53254738 1.39084147 1.40205691]
95,[1.39084147 1.53254738 1.40205691]
96,[1.40205691 1.45777966 1.42727846]
97,[1.40205691 1.42727846 1.45777966]
98,[1.42727846 1.45777966 1.40205691]
99,[1.45777966 1.42727846 1.40205691]
100,[1.42727846 1.45777966 1.40205691]
101,[1.45777966 1.42727846 1.40205691]
102,[1.40205691 1.45777966 1.42727846]
103,[1.40205691 1.42727846 1.45777966]
104,[1.39840885 1.55551519 1.39189387]
105,[1.39840885 1.39189387 1.55551519]
106,[1.39189387 1.55551519 1.39840885]
107,[1.55551519 1.39189387 1.39840885]
108,[1.39189387 1.55551519 1.39840885]
109,[1.55551519 1.39189387 1.39840885]
110,[1.39840885 1.55551519 1.39189387]
111,[1.39840885 1.39189387 1.55551519]
112,[1.45693763 1.40730994 1.39084147]
113,[1.45693763 1.39084147 1.40730994]
114,[1.39084147 1.40730994 1.45693763]
115,[1.40730994 1.39084147 1.45693763]
116,[1.39084147 1.40730994 1.45693763]
117,[1.40730994 1.39084147 1.45693763]
118,[1.45693763 1.40730994 1.39084147]
119,[1.45693763 1.39084147 1.40730994]
