,length
0,[1.43738594 1.39087071 1.47401029]
1,[1.43739055 1.47401029 1.39087244]
2,[1.52374944 1.59731099 1.59734459 1.52374238]
3,[1.42434972 1.40316064 1.44571507]
4,[1.52574746 1.38684287 1.43738594]
5,[1.43738594 1.38684287 1.52574746]
6,[1.42434476 1.40315691 1.44571507]
7,[1.44266537 1.40315691 1.4353515 ]
8,[1.43738221 1.3908797  1.47401029]
9,[1.43738221 1.39087071 1.47401029]
10,[1.43534265 1.40316064 1.44266628]
11,[1.43533381 1.44266628 1.40316064]
12,[1.38683275 1.4353515  1.47547191]
13,[1.52374238 1.59734459 1.59731099 1.52374944]
14,[1.52375585 1.59734459 1.59731099 1.5237488 ]
15,[1.44266537 1.44266628 1.39154526]
16,[1.38683275 1.43738221 1.52574746]
17,[1.44571507 1.42434972 1.40316064]
18,[1.44266628 1.40316064 1.43534265]
19,[1.39087244 1.43739055 1.47401029]
20,[1.5237488  1.59731099 1.59734459 1.52375585]
21,[1.4353515  1.40315691 1.44266537]
22,[1.42434972 1.52374238 1.39087071]
23,[1.60621163 1.62050122 1.52574746 1.52574746]
24,[1.43534269 1.44266997 1.40316146]
25,[1.52574746 1.52574746 1.62050122 1.60621163]
26,[1.47547191 1.43534265 1.38683275]
27,[1.40316064 1.44266628 1.43533381]
28,[1.40316146 1.44266997 1.43534269]
29,[1.39087071 1.52374238 1.42434972]
30,[1.39087244 1.42434767 1.52375585]
31,[1.39087071 1.42434972 1.52374944]
32,[1.44571507 1.40315691 1.42434476]
33,[1.44571507 1.40316064 1.42434972]
34,[1.52374944 1.42434972 1.39087071]
35,[1.52574746 1.43738221 1.38683275]
36,[1.52574746 1.38681887 1.43739055]
37,[1.38683275 1.43534265 1.47547191]
38,[1.60621163 1.62050122 1.52574746 1.52574746]
39,[1.3908797  1.43738221 1.47401029]
40,[1.47547191 1.38684287 1.43533381]
41,[1.40316146 1.42434767 1.44571507]
42,[1.42434476 1.5237488  1.3908797 ]
43,[1.3908797  1.5237488  1.42434476]
44,[1.38683275 1.43738221 1.52574746]
45,[1.43739055 1.38681887 1.52574746]
46,[1.47547191 1.38681887 1.43534269]
47,[1.52375585 1.42434767 1.39087244]
48,[1.47547191 1.4353515  1.38683275]
49,[1.44571507 1.42434767 1.40316146]
50,[1.43534269 1.38681887 1.47547191]
51,[1.39154526 1.44266997 1.44266628]
52,[1.52574746 1.43738221 1.38683275]
53,[1.39154526 1.44266628 1.44266537]
54,[1.43533381 1.38684287 1.47547191]
55,[1.39087071 1.47401029 1.43738594]
56,[1.52574746 1.52574746 1.62050122 1.60621163]
57,[1.40316064 1.42434972 1.44571507]
58,[1.39087071 1.43738221 1.47401029]
59,[1.44266628 1.44266997 1.39154526]
