,length
0,[1.4984922  1.38562271 1.38656617]
1,[1.4984922  1.38656617 1.38562271]
2,[1.38656617 1.38562271 1.4984922 ]
3,[1.38562271 1.38656617 1.4984922 ]
4,[1.24227825 1.38562271]
5,[1.38562271 1.24227825]
6,[1.38562271 1.24227825]
7,[1.24227825 1.38562271]
8,[1.38531996 1.24227825]
9,[1.38531996 1.24227825]
10,[1.24227825 1.38531996]
11,[1.24227825 1.38531996]
12,[1.38649613 1.49639914 1.38531996]
13,[1.49639914 1.38649613 1.38531996]
14,[1.38531996 1.49639914 1.38649613]
15,[1.38531996 1.38649613 1.49639914]
16,[1.24132955 1.38649613]
17,[1.24132955 1.38649613]
18,[1.38649613 1.24132955]
19,[1.38649613 1.24132955]
20,[1.3859788  1.24132955]
21,[1.3859788  1.24132955]
22,[1.24132955 1.38597533]
23,[1.24132955 1.38597533]
24,[1.38486528 1.3859788  1.49764726]
25,[1.38486528 1.49764726 1.3859788 ]
26,[1.49766042 1.38597533 1.38485893]
27,[1.38597533 1.49766042 1.38485893]
28,[1.24344525 1.38486528]
29,[1.24344525 1.38486528]
30,[1.38485893 1.24344525]
31,[1.38485893 1.24344525]
32,[1.24344525 1.38656617]
33,[1.38656617 1.24344525]
34,[1.38656617 1.24344525]
35,[1.24344525 1.38656617]
36,[1.4473443  1.44631447 1.4984922 ]
37,[1.44631447 1.4473443  1.4984922 ]
38,[1.4984922  1.44631447 1.4473443 ]
39,[1.4984922  1.4473443  1.44631447]
40,[1.44774208 1.49639914 1.4473443 ]
41,[1.44774208 1.4473443  1.49639914]
42,[1.4473443  1.49639914 1.44774208]
43,[1.49639914 1.4473443  1.44774208]
44,[1.49764726 1.44631447 1.44774208]
45,[1.44631447 1.49764726 1.44774208]
46,[1.44774208 1.44631447 1.49766042]
47,[1.44774208 1.49766042 1.44631447]
