,length
0,[1.54525552 1.54525552 1.5452533  1.55043832]
1,[1.54661674 1.54661674 1.56726319 1.5466207 ]
2,[1.54661674 1.5466207  1.56726319 1.54661674]
3,[1.54661674 1.54661674 1.5466207  1.56726319]
4,[1.54525552 1.54525552 1.5452533  1.54643082]
5,[1.54661674 1.5466207  1.54661674 1.54643082]
6,[1.54525552 1.54525552 1.54643082 1.5452533 ]
7,[1.54661674 1.54661674 1.54643082 1.5466207 ]
8,[1.54661674 1.5466207  1.54661674 1.56726319]
9,[1.54525552 1.5452533  1.54525552 1.55043832]
10,[1.54525552 1.5452533  1.55043832 1.54525552]
11,[1.54661674 1.5466207  1.54643082 1.54661674]
12,[1.54661674 1.54661674 1.5466207  1.54643082]
13,[1.54525552 1.54525552 1.55043832 1.5452533 ]
14,[1.54525552 1.5452533  1.54525552 1.54643082]
15,[1.54525552 1.5452533  1.54643082 1.54525552]
